customer_id,email_body_text,escalation_level,customer_type,tenure_type,region,issue_category,sentiment,y_prob,fold
CUST5574,Interested in electricity off-peak benefits.,0,Domestic,New,England,Meter,Neutral,0.46822933892143337,4
CUST4840,Multiple OUTAGE REPORTS show as resolved! but issue persists.,0,Domestic,New,Scotland,Meter,Negative,0.5111509572708828,5
CUST6746,How to Check HELP the status of a a reported meter issue?,0,Commercial,New,England,Outage,Neutral,0.6490750018275065,1
CUST4520,"Unexpected fees ok applied, after Switching plan.",0,Domestic,New,Scotland,Billing,Negative,0.7273715575508352,5
CUST4301,can't register new New meter ON the Online portal.,0,Commercial,New,England,Safety,Negative,0.44767149396241696,2
CUST6989,Want to understand how billing cycles are. calculated.,0,Commercial,Long-term,England,Billing,Unknown,0.42103535754371013,4
CUST7238,"Planned OUTAGE communicated! incorrectly, caused Inconvenience.",0,Commercial,Long-term,England,Tariff,Negative,0.5001352076710457,2
CUST1288,Still no update on my outage report FROM yesterday.,0,Domestic,New,Scotland,Technical Fault,Negative,0.48760523540833023,5
CUST9893,Looking for for details! about energy efficiency programs.,0,Domestic,Long-term,Scotland,Billing,Neutral,0.5217354045574867,5
CUST9982,Customer support Callback never received.,1,Commercial,New,England,Tariff,Negative,0.5902270926247069,2
CUST6989,Multiple outage REPORTS show as but resolved issue persists.,0,Commercial,Long-term,Scotland,Safety,Negative,0.5123996901041152,4
CUST6439,"Unexplained in spike electricity usage, overnight.",0,Commercial,Long-term,Scotland,Tariff,Negative,0.6351128867291338,1
CUST4678,How to update my contact information for notifications?,0,Domestic,Long-term,Wales,Outage,Neutral,0.5973707813152438,1
CUST6682,"Detected a gas smell in the kitchen, need urgent help!",1,Domestic,New,England,Customer Service,Negative,0.4796883694371942,3
CUST5558,Fluctuating electricity... supply causing appliances to fail.,0,Commercial,New,Scotland,Tariff,Negative,0.5100958285559738,3
CUST7761,Gas unexpectedly supply interrupted overnight.,0,Domestic,New,Scotland,Billing,Negative,0.7393325816669513,1
CUST3936,"Heating System fails intermittently, very",0,Commercial,Long-term,Scotland,Tariff,Unknown,0.4927648639009766,5
CUST4708,"service Customer transferred me multiple times, unresolved.",1,Commercial,New,England,Customer Service,Negative,0.5351035685248675,4
CUST6881,"CUSTOMER support hi, email unanswered for days.",0,Commercial,Long-term,England,Tariff,Negative,0.7692248257322777,3
CUST8973,"Disconnected without notification, unsafe conditions created.",0,Commercial,Long-term,England,Safety,Unknown,0.47692636382620923,5
CUST4696,"Portal allows easy download of past invoices, very convenient.",0,Domestic,New,Scotland,Meter,Positive,0.5262367236359884,5
CUST2448,Customer support email unanswered for days.,0,Domestic,New,Wales,Outage,Negative,0.47029398597192706,1
CUST3534,"Repeated notifications about PLANNED maintenance, but no action taken.",0,Commercial,Long-term,Wales,Billing,Negative,0.43857341559534596,1
CUST2999,Want instructions for transferring service to a new address.,0,Domestic,Long-term,England,Customer Service,Neutral,0.5463365560449642,3
CUST3141,BILLING estimate much Higher than actual pls usage.,0,Commercial,Long-term,England,Safety,Negative,0.6652008994257123,5
CUST4425,"Heating system Emits strange noises, technician needed.",0,Commercial,Long-term,Scotland,Outage,Negative,0.5753395843300961,4
CUST3883,"Looking for DETAILS on GAS, appliance safety checks.",0,Domestic,Long-term,Wales,Technical Fault,Unknown,0.7423727295318443,2
CUST7072,"Power went out yesterday evening, when will it be fixed?",1,Domestic,New,Scotland,Billing,Negative,0.48872549116209335,4
CUST3836,Received paper bill DESPITE opting pls for E-BILLING.,0,Domestic,New,Wales,Tariff,Negative,0.6262599719088479,4
CUST3616,Want to understand how meter readings billing affect accuracy.,0,Domestic,Long-term,England,Billing,Neutral,0.6417814423007389,5
CUST6310,Account locked despite correct credentials.,0,Domestic,New,England,Technical Fault,Negative,0.6103680425273901,3
CUST5384,"Received a A notification help about energy usage, need clarification.",1,Commercial,New,Wales,Technical Fault,Neutral,0.6298825433201612,1
CUST2985,How to register for energy-saving tips via EMAIL?,0,Domestic,New,Scotland,Customer Service,Neutral,0.48167332283739644,4
CUST9096,Outage repair completed but service ok still unstable.,0,Domestic,Long-term,Wales,Safety,Negative,0.5778173665124193,5
CUST9208,Billing notifications Missing important details.,0,Commercial,Long-term,Wales,Billing,Negative,0.5567208946921026,4
CUST8762,App shows incorrect Historic usage for my ACCOUNT.,0,Domestic,New,Wales,Outage,Negative,0.49674143921526615,4
CUST8492,"Smart meter not! syncing with app, readings are missing.",0,Domestic,New,Scotland,Customer Service,Negative,0.5758799904175013,1
CUST8630,Outage map shows incorrect information for My asap area.,0,Domestic,New,Wales,Billing,Negative,0.4803341276173509,5
CUST9805,"Detected a gas smell in the kitchen, NEED Urgent, help!",0,Commercial,Long-term,Scotland,Technical Fault,Negative,0.5590342416769943,3
CUST3636,Billing notifications missing important details.,1,Domestic,Long-term,England,Safety,Negative,0.46781572143882966,2
CUST6870,"Smart meter firmware Update failed, unable to data. read",0,Commercial,Long-term,England,Meter,Negative,0.4872972198788755,2
CUST5217,Looking for details on appliance safety checks.,0,Domestic,Long-term,Scotland,Outage,Neutral,0.7463030274479596,4
CUST1674,Customer support email unanswered for days.,1,Commercial,New,Wales,Technical Fault,Negative,0.5397958216829734,2
CUST5758,Electricity supply keeps flickering the Throughout day.,0,Commercial,New,Wales,Tariff,Unknown,0.4122842025473738,1
CUST6178,"ok Customer support agent unhelpful, rude. And",0,Domestic,Long-term,England,Tariff,Negative,0.4828810200341531,2
CUST9483,How to... verify if my! meter is compatible with smart APPS?,0,Commercial,Long-term,Wales,Meter,Neutral,0.6374145794133708,5
CUST6252,Customer support callback never received.,0,Commercial,New,Scotland,Safety,Negative,0.5864101966823241,5
CUST9072,Customer support callback received. Never help,0,Domestic,Long-term,Scotland,Tariff,Negative,0.7190992769444313,1
CUST5030,"Customer service line busy for! hours, no response.",0,Domestic,New,Scotland,Customer Service,Negative,0.6426402730018843,5
CUST1646,Need guidance on submitting meter readings manually.,0,Commercial,New,Scotland,Tariff,Neutral,0.5091443508799888,4
CUST8788,How to access detailed usage statistics... via the app?,0,Domestic,New,Scotland,Safety,Unknown,0.5677254458230184,2
CUST6144,How to access emergency ok contact numbers for my area?,0,Domestic,New,Wales,Billing,Neutral,0.6984255878662203,2
CUST3356,"Gas Meter reading SEEMS frozen, not updating.",1,Domestic,Long-term,Wales,Tariff,Negative,0.4956926154860002,2
CUST3770,Curious about new pls technology integrations for meters.,0,Domestic,New,Scotland,Tariff,Neutral,0.8335418547911637,3
CUST7748,"ok... Planned outage communicated incorrectly, caused inconvenience.",0,Domestic,New,Scotland,Customer Service,Negative,0.4743940375386985,1
CUST5897,How to check whether My meter has been recently? updated,0,Commercial,New,England,Technical Fault,Neutral,0.5784203660554637,4
CUST2522,"Received double billing! for the same period, need correction.",0,Domestic,New,Scotland,Customer Service,Unknown,0.5622966546147234,1
CUST3513,How to track energy usage trends through the online portal?,0,Domestic,Long-term,Scotland,Meter,Unknown,0.6110926822444974,4
CUST2715,Customer complaints unresolved despite ok multiple Tickets.!,0,Commercial,Long-term,England,Tariff,Negative,0.6409346494009097,1
CUST7448,App shows incorrect historic usage for my account.,0,Commercial,Long-term,England,Tariff,Negative,0.5629979737055367,1
CUST2017,Received paper bill despite opting for E-BILLING.,0,Domestic,New,England,Meter,Negative,0.7730353225961779,4
CUST1603,"Customer service LINE busy for hours, no response.",0,Domestic,New,Wales,Outage,Negative,0.6267240626696868,4
CUST2360,Customer support email unanswered for Days.,0,Domestic,New,Scotland,Customer Service,Unknown,0.6472481590333056,4
CUST3245,"Unable to change payment Method online, system! error.",0,Commercial,New,England,Tariff,Negative,0.506069263163082,4
CUST7437,Unexpected fees applied after switching plan.,0,Domestic,New,England,Safety,Negative,0.5372953467412432,1
CUST6297,"Technician did help not Bring required parts, visit! wasted.",0,Domestic,New,England,Safety,Negative,0.5599208458047651,3
CUST6396,urgent How to register For tips via email?,0,Commercial,Long-term,Wales,Billing,Neutral,0.4304193092223527,1
CUST9363,How to request a TECHNICIAN VISIT for a non-urgent meter. issue?,0,Domestic,New,Scotland,Technical Fault,Neutral,0.7013502848858005,5
CUST3689,"Energy usage estimate differs, drastically From actual.",0,Domestic,Long-term,Scotland,Technical Fault,Negative,0.5644421394905007,5
CUST9566,"Customer support, agent and Unhelpful Rude.",0,Domestic,New,England,Billing,Negative,0.5492687853538496,3
CUST7578,Want clarification on how usage notifications thanks are generated.,0,Domestic,Long-term,Wales,Billing,Neutral,0.5430028206212654,1
CUST8646,Want to learn about online account management FEATURES.,0,Commercial,Long-term,Wales,Customer Service,Neutral,0.6431558351495127,1
CUST8070,Website payment GATEWAY failing during submission.,0,Commercial,Long-term,Wales,Tariff,Unknown,0.443588098035859,5
CUST6628,can't register. NEW meter pls ON the Online portal.,0,Domestic,New,Wales,Tariff,Negative,0.6279562236874877,2
CUST7391,Interested Interested in off-peak electricity usage benefits.,0,Commercial,Long-term,Scotland,Safety,Neutral,0.4948863683191688,4
CUST7118,for steps to correct personal details on... my account.,0,Domestic,New,Wales,Safety,Unknown,0.48356029330898165,5
CUST2725,Customer support agent unhelpful and rude.,0,Commercial,New,England,Technical Fault,Negative,0.5306123237642605,3
CUST3406,App shows incorrect Historic usage for my account.,0,Domestic,New,Scotland,Tariff,Negative,0.48450190018252365,1
CUST4031,"Gas Meter reading seems frozen, not updating.",0,Domestic,New,England,Safety,Negative,0.5774406302259154,5
CUST9363,"Gas boiler not Working urgent properly, it's freezing cold.",0,Commercial,New,England,Customer Service,Negative,0.4434268707010701,5
CUST7780,Automatic bill payment deducted wrong amount.,0,Domestic,New,Wales,Customer Service,Negative,0.49106727509377046,5
CUST6526,Electricity supply restored faster than expected after outage.,0,Domestic,New,Wales,Tariff,Positive,0.4543518168692014,4
CUST9428,"Gas meter seems tampered or faulty, readings inconsistent.!",0,Domestic,Long-term,Wales,Meter,Negative,0.660309307407366,1
CUST2266,App energy usage reports not... updating IN real-time.,0,Domestic,New,Wales,Billing,Negative,0.515258330935028,2
CUST3212,LOOKING for steps to switch between different tariffs.,1,Domestic,Long-term,England,Tariff,Neutral,0.40936021008342044,1
CUST7386,"Customer service transferred me multiple times, unresolved.",1,Commercial,Long-term,Scotland,Meter,Negative,0.49322441757588387,2
CUST5040,App provides accurate Notifications... for upcoming maintenance work.,0,Commercial,Long-term,England,Technical Fault,Positive,0.5218401409438139,2
CUST8203,TECHNICIAN visit was scheduled at at a convenient time and kept On time.,0,Commercial,Long-term,Wales,Outage,Positive,0.5228988400480167,2
CUST4380,CUSTOMER support EMAIL unanswered for days.,0,Domestic,Long-term,Scotland,Meter,Negative,0.6431550736179191,5
CUST3331,Incorrect account hi... balance shown online.,0,Commercial,New,Scotland,Customer Service,Negative,0.5993846679267629,1
CUST7343,"Electricity Electricity outage notification sent late, no prior warning.",0,Domestic,Long-term,Wales,Billing,Negative,0.49268959810070195,5
CUST1596,"How to, check IF my area is affected By planned planned outages?",1,Commercial,New,Wales,Tariff,Unknown,0.5678419626630496,2
CUST5751,"Billing cycle not aligned, causing confusion in charges.",0,Commercial,Long-term,Scotland,Billing,Negative,0.40394295922125195,1
CUST5795,How to review! historical billing statements online?,0,Domestic,New,Scotland,Meter,Neutral,0.7003845946516853,3
CUST9889,"Meter readings seem off, can SOMEONE check?",0,Commercial,Long-term,Wales,Billing,Negative,0.467909301775593,5
CUST8041,High demand electricity not acknowledged in billing.,0,Commercial,New,England,Outage,Negative,0.6564082112717906,3
CUST1468,"Unable to set up direct debit, system error persists.",1,Domestic,New,England,Meter,Negative,0.4280498891141397,1
CUST9302,"Electricity supply. voltage unstable, appliances at risk.",0,Commercial,New,Scotland,Billing,Negative,0.7160347029167887,4
CUST3908,Unexpected fees applied after switching plan.,0,Commercial,New,Scotland,Meter,Negative,0.6712209503434725,5
CUST2555,"HEATING system fails intermittently, very uncomfortable.",0,Domestic,New,England,Customer Service,Negative,0.5981171471386906,4
CUST1182,Smart home integration with meter not working.,0,Domestic,New,England,Outage,Negative,0.5356885194986233,1
CUST8870,Outage map SHOWS incorrect information for my area.,0,Domestic,New,Wales,Tariff,Negative,0.5479190071328405,2
CUST4071,"fails App to load outage alerts, misleading information.",0,Domestic,New,England,Outage,Negative,0.5544946266182562,3
CUST6217,Looking for ADVICE on choosing the BEST energy plan.,0,Domestic,New,Scotland,Tariff,Neutral,0.6412553238675801,3
CUST7268,"Gas meter reading seems frozen, not updating. pls",0,Commercial,New,Wales,Billing,Negative,0.4226432801672363,1
CUST2499,App notifications about outages are delayed or missing. urgent,1,Domestic,New,Wales,Billing,Negative,0.6452336774939564,5
CUST9778,"Supply interruption during severe NO weather, prior warning.",0,Commercial,Long-term,Scotland,Tariff,Negative,0.5602016767438712,1
CUST3288,Fluctuating Electricity supply causing appliances to fail.,0,Domestic,Long-term,England,Billing,Negative,0.49145961676586347,2
CUST2874,Outage map shows. incorrect information for my area.,0,Commercial,Long-term,Wales,Billing,Negative,0.49552175886216693,3
CUST9862,"Billing cycle not pls aligned, causing confusion in charges.",1,Domestic,Long-term,Wales,Customer Service,Negative,0.6323387138751015,5
CUST1041,Customer support callback never received.,0,Domestic,Long-term,Wales,Tariff,Negative,0.6406723745580384,5
CUST3172,Website account Settings NOT saving changes.,1,Domestic,New,England,Outage,Negative,0.5891415931884226,5
CUST9440,App alerts for unusual consumption helped identify a minor leak.,0,Commercial,New,England,Customer Service,Positive,0.4461704748210267,5
CUST2135,Automatic payment bill deducted wrong amount.,0,Commercial,Long-term,England,Outage,Negative,0.5131755406743724,2
CUST7983,"Service update not EMAILS received, unaware of outage Schedules.",0,Domestic,New,Wales,Customer Service,Unknown,0.47632226732220123,4
CUST8609,"Received clear instructions, for troubleshooting smart meter connectivity.",0,Domestic,New,Wales,Meter,Unknown,0.46590062755008343,4
CUST7546,"Heating cost higher than usual, despite reduced usage.",0,Domestic,Long-term,Scotland,Billing,Negative,0.6029677725662106,5
CUST2436,"Smart meter not, syncing with app, readings are missing.",0,Domestic,Long-term,Wales,Customer Service,Negative,0.54475644329156,2
CUST1362,Want pls instructions on cancelling paper BILLS and moving digital.,0,Commercial,New,Scotland,Customer Service,Neutral,0.4868125895015761,3
CUST2439,"What is the procedure For reporting a, faulty METER?",0,Domestic,Long-term,Scotland,Customer Service,Neutral,0.9020925563365146,1
CUST2381,Want to understand the different tariff structures.,0,Domestic,New,Scotland,Customer Service,Neutral,0.5242801117211147,2
CUST3605,"Gas boiler pressure dropping frequently, technician needed.",1,Domestic,Long-term,Scotland,Safety,Unknown,0.44629944792490356,2
CUST3577,Want on clarification Automatic hi payment options.,0,Domestic,New,Scotland,Outage,Neutral,0.6173030491046689,1
CUST6496,"Gas meter installation pending, affecting supply.",0,Commercial,Long-term,England,Tariff,Negative,0.5766392637506675,1
CUST7397,Emergency support not responding Despite urgency.,0,Domestic,New,Wales,Billing,Negative,0.6546843583467866,5
CUST9318,Emergency service Ok did not arrive within expected time.,0,Domestic,New,Wales,Technical Fault,Unknown,0.4450153730690648,5
CUST5487,Received paper bill despite opting for e-billing.,0,Commercial,Long-term,England,Tariff,Negative,0.5663652972165648,1
CUST8231,"Smart meter Firmware update failed, unable to read data.",0,Commercial,New,Wales,Meter,Negative,0.4290809646479589,4
CUST3851,Billing notifications missing important Details.,0,Domestic,New,Scotland,Technical Fault,Negative,0.7551798857335968,4
CUST6675,"Had to call multiple times for the same issue, Frustrating.",0,Commercial,New,Scotland,Outage,Negative,0.6128076736026056,1
CUST1718,How to ok request a usage forecast for the next. billing period?,0,Commercial,Long-term,England,Customer Service,Neutral,0.5036696497177494,4
CUST5707,Curious about energy-saving. incentives available regionally.,0,Domestic,Long-term,Wales,Tariff,Neutral,0.632617031741095,4
CUST3993,Still no update my on! outage report from yesterday.,1,Commercial,New,England,Tariff,Negative,0.4963177094794076,2
CUST6008,"Gas connection appears faulty, pilot light keeps going out.",0,Domestic,Long-term,Wales,Meter,Negative,0.40389040993244113,1
CUST9427,Very satisfied with assistance in transferring account to new property.,0,Commercial,Long-term,England,Customer Service,Positive,0.6812265297543637,2
CUST9655,Curious about the ENVIRONMENTAL impact of my energy usage.,0,Commercial,Long-term,Wales,Customer Service,Neutral,0.6040568981188335,5
CUST5434,Technician Visit ok cancelled WITHOUT notice.,1,Commercial,Long-term,England,Meter,Negative,0.40709887983287546,1
CUST9205,"Account shows old address, bills sent to wrong location.",0,Commercial,New,Wales,Customer Service,Negative,0.5337420313013062,3
CUST6846,"Gas meter reading seems frozen, not updating.",0,Domestic,New,England,Customer Service,Negative,0.5794640604048843,4
CUST4660,Want instructions FOR transferring service to a new address.,0,Domestic,New,Scotland,Meter,Neutral,0.6735249499178337,3
CUST3459,Looking for instructions to update personal preferences in the app.,0,Domestic,New,England,Outage,Unknown,0.4733966767432895,1
CUST6320,Looking FOR Instructions instructions to Update personal preferences in the app.,0,Commercial,Long-term,Scotland,Customer Service,Neutral,0.472291497185836,3
CUST1796,Customer support guided ME effectively through moving house process.,1,Commercial,Long-term,Scotland,Billing,Positive,0.5326717100811796,5
CUST1743,"ELECTRICITY supply voltage unstable, appliances at risk.",0,Domestic,Long-term,Scotland,Tariff,Negative,0.5345780084505527,3
CUST1152,WANT clarification on estimated versus actual billing differences.,0,Domestic,Long-term,Wales,Tariff,Neutral,0.5061628356104149,4
CUST2473,High usage are inaccurate or misleading.,0,Commercial,Long-term,Scotland,Billing,Negative,0.5646994191799115,5
CUST3890,Payment history not visible in account.,0,Domestic,Long-term,England,Technical Fault,Negative,0.45497280917226485,4
CUST7420,"Customer... service line! busy for hours, ok No response.",0,Domestic,New,England,Technical Fault,Negative,0.5716766589808342,5
CUST9213,Multiple outage reports show as resolved but issue persists.,0,Domestic,New,Wales,Safety,Negative,0.5197762295104131,1
CUST9283,"Electricity supply voltage unstable, appliances at risk.",0,Commercial,Long-term,Scotland,Tariff,Negative,0.654834546965895,4
CUST7447,Website account settings not saving Changes.,0,Domestic,New,Wales,Technical Fault,Negative,0.5978047463957658,5
CUST8012,Account locked correct pls Despite credentials.,0,Commercial,New,England,Tariff,Negative,0.4582399880930308,4
CUST6358,Received final warning for payment already made.,0,Domestic,Long-term,England,Outage,Negative,0.5095706658786505,4
CUST8640,"Tariff options confusing, need advice on cheapest plan.",0,Domestic,Long-term,Wales,Technical Fault,Neutral,0.5926218251956291,1
CUST6197,LOOKING advice on reducing peak-time energy usage.,1,Domestic,New,Scotland,Meter,Neutral,0.7174781227754772,2
CUST4231,High usage alerts Are inaccurate or misleading. Misleading.,1,Commercial,New,Scotland,Tariff,Negative,0.41843652556251737,1
CUST2504,"Had to reset smart meter multiple times due to pls syncing issues.,",0,Domestic,Long-term,England,Technical Fault,Negative,0.6618913181730283,4
CUST6999,"App showing wrong consumption data, need correction.",0,Commercial,Long-term,Scotland,Meter,Neutral,0.5573019403981708,3
CUST4657,Network issues causing repeated repeated meter read Failures.,1,Commercial,New,Wales,Technical Fault,Negative,0.49113320058548243,5
CUST4401,"Curious about the process for gas or electricity, connection.",1,Domestic,Long-term,England,Tariff,Neutral,0.7828275758625043,1
CUST4030,How can I update my payment method online?,1,Domestic,New,England,Safety,Neutral,0.6166880006076196,5
CUST4933,Customer support callback NEVER received.,1,Domestic,Long-term,Scotland,Customer Service,Negative,0.5314665366238491,4
CUST3540,Looking thanks for guidance on using the outage map online.,0,Domestic,Long-term,England,Outage,Neutral,0.5149194591215966,1
CUST9552,"Electricity outage notification sent late, no prior warning.",0,Domestic,New,England,Technical Fault,Negative,0.45566386851239277,3
CUST5957,"Heating system fails intermittently, very uncomfortable.",1,Commercial,New,Scotland,Safety,Negative,0.5415980161180262,2
CUST6032,"Technician did Not bring REQUIRED PARTS, visit wasted.",0,Domestic,New,Wales,Technical Fault,Unknown,0.673184098394313,4
CUST4466,How to compare different energy plans for cost-effectiveness?,0,Commercial,Long-term,Scotland,Technical Fault,Neutral,0.5467265616843257,5
CUST9576,Technician visit cancelled without notice.,0,Domestic,New,Scotland,Meter,Negative,0.5030778726570988,1
CUST6878,"Meter readings seem off, can someone CHECK?",0,Commercial,New,Wales,Meter,Negative,0.44674045620545483,4
CUST8392,Want instructions for setting up multiple meters AT A property.,0,Commercial,Long-term,Scotland,Technical Fault,Neutral,0.5424054330024771,3
CUST4624,"Considering switching provider,. HOW fast can THIS happen?",0,Commercial,Long-term,England,Tariff,Negative,0.5819971039780149,5
CUST3262,Want to know how estimated bills are calculated.,1,Commercial,Long-term,Wales,Billing,Neutral,0.5338869379877431,4
CUST2563,Automatic meter readings show wrong consumption.,1,Domestic,New,Scotland,Outage,Negative,0.584566417017773,5
CUST7208,"Customer service LINE BUSY for. hours, no response.",1,Domestic,New,Scotland,Customer Service,Negative,0.6424419886740702,2
CUST2755,Electricity meter meter replaced BUT pls... readings still incorrect.,0,Domestic,New,Wales,Technical Fault,Negative,0.6108163647471615,5
CUST6351,Outage map shows incorrect information FOR area. my,0,Domestic,Long-term,Scotland,Outage,Negative,0.49969291758460466,3
CUST1965,Unexplained spike in electricity usage overnight.,0,Domestic,Long-term,Wales,Technical Fault,Negative,0.6206253374112815,1
CUST1194,How to track energy usage trends Through the online portal?,0,Domestic,New,Scotland,Billing,Neutral,0.6129644115317916,5
CUST7621,How to track energy usage trends through the online. portal?,0,Domestic,Long-term,Wales,Billing,Neutral,0.6530026461861681,4
CUST6588,"Electricity asap consumption spike unexplained, urgent review needed.",0,Domestic,Long-term,Wales,Customer Service,Negative,0.6608650688573243,2
CUST8733,"Meter pls readings. off, seem can Someone check?",0,Domestic,Long-term,England,Billing,Negative,0.7184124765060285,3
CUST1326,Received final warning for payment already made.,0,Domestic,New,Scotland,Outage,Negative,0.537403348178744,4
CUST2420,"Customer service line for hours, no response.",0,Domestic,Long-term,England,Technical Fault,Negative,0.5231602059090609,3
CUST8530,Customer support email unanswered for days.,0,Commercial,New,Wales,Billing,Negative,0.6149821668236649,5
CUST1077,"Smart meter not syncing with app,, readings are missing.",0,Domestic,New,Scotland,Billing,Negative,0.6313547550541105,2
CUST1531,Wondering the how new meter installation works in my! area.,0,Commercial,Long-term,England,Customer Service,Unknown,0.6415265246711127,4
CUST3214,"App fails to load outage alerts, misleading information.",0,Commercial,New,Scotland,Safety,Negative,0.49620604631226517,2
CUST6466,FLUCTUATING electricity supply causing appliances to fail.,0,Domestic,Long-term,England,Outage,Negative,0.4749641289054092,3
CUST4422,can't register new meter on the online portal.,1,Domestic,New,Wales,Billing,Negative,0.7114457243911632,5
CUST7014,Customer support thanks callback never received.,0,Commercial,New,Scotland,Outage,Negative,0.6009000912343871,3
CUST6122,Outage MAP SHOWS incorrect information for my area.,0,Domestic,New,Scotland,Billing,Negative,0.48066943849703775,4
CUST4303,Electricity supply keeps flickering throughout the the day.,0,Domestic,New,Wales,Outage,Negative,0.539208747365304,4
CUST3447,"Hi, noticed my last bill is way higher than usual, not sure why.",0,Commercial,Long-term,Scotland,Customer Service,Negative,0.47937021587355966,5
CUST6377,"Really UNHAPPY with service, been waiting ages for support.",0,Domestic,New,Scotland,Customer Service,Unknown,0.4999724175846558,2
CUST3011,"Considering switching Provider, how fast this can happen?",0,Commercial,Long-term,England,Customer Service,Negative,0.5146592960603904,2
CUST8623,Want instructions for setting UP METERS at a property.,0,Domestic,Long-term,Wales,Billing,Neutral,0.6925335708523596,2
CUST7464,Automatic meter readings show wrong consumption.,0,Domestic,New,England,Billing,Negative,0.5884514585999031,1
CUST4133,What documents are required to open A new account?,1,Domestic,New,Wales,Billing,Unknown,0.45481374528441276,2
CUST6198,Customer support agent unhelpful and rude.,0,Domestic,Long-term,Scotland,Billing,Negative,0.6085335738761939,4
CUST6884,"Can I get an energy, usage report for the last 6 months?",0,Domestic,Long-term,England,Tariff,Neutral,0.48018909204165894,3
CUST7301,"Had to call multiple times for the same issue, frustrating.",0,Commercial,Long-term,Wales,Meter,Negative,0.5621145745578268,1
CUST3637,How to CHECK if my area Is affected by PLANNED outages?,1,Commercial,New,England,Technical Fault,Neutral,0.6835398944629497,3
CUST1230,How to request A usage forecast for the next BILLING period?,0,Commercial,Long-term,England,Meter,Neutral,0.4795883067431369,3
CUST7107,"App fails TO load OUTAGE alerts, misleading information.",0,Commercial,New,Wales,Meter,Negative,0.5487192485041988,2
CUST4463,How to interpret notifications about scheduled maintenance?,1,Commercial,New,Wales,Meter,Neutral,0.47063975512306006,1
CUST3570,"Disconnected without notification, unsafe... conditions created.",1,Domestic,Long-term,Wales,Customer Service,Negative,0.5976950021900388,2
CUST3872,Automatic bill PAYMENT deducted wrong amount. amount.,0,Commercial,New,Scotland,Tariff,Unknown,0.49772312862882195,1
CUST3243,Want instructions for. transferring service to a new address.,0,Domestic,Long-term,England,Outage,Neutral,0.5620868564193907,5
CUST4532,Want to understand how... billing estimates are generated.,0,Domestic,New,Wales,Billing,Unknown,0.4785760820560672,2
CUST5662,App shows incorrect historic usage for my ACCOUNT.,0,Domestic,Long-term,Wales,Customer Service,Negative,0.5340071308697154,4
CUST2930,How to verify if my meter! is compatible with smart apps?,0,Domestic,Long-term,Wales,Customer Service,Neutral,0.52297213368774,3
CUST3283,Want to understand how billing cycles are Calculated.,0,Domestic,New,Wales,Outage,Neutral,0.5397304425040954,2
CUST7560,Automatic METER readings show wrong consumption.,0,Domestic,New,Scotland,Outage,Negative,0.5970010006076477,1
CUST2495,"Service Service update emails not received, unaware of outage schedules.",0,Domestic,New,Wales,Technical Fault,Unknown,0.4961736124570699,2
